0.9.6-incubating,commit 0ce353daefccf27b268950af51cd13e6f6a442ad 1179887595 ------p,2007-05-23T02:33:15Z,
0.9.7-incubating,commit 3da85091aada83adcaafec30e277c422ef46b118 1179887595 ------p,2007-05-23T02:33:15Z,
1.0.0,commit 6bd68255cfd6dc3ef168e566bbfc7d12667e9566 1188323508 ------p,2007-08-28T17:51:48Z,
1.0.1,commit dab9ad72ad8643c9975df247830d9c228eebb374 1194656367 ------p,2007-11-10T00:59:27Z,
1.0.2,commit 769364b1938f7f3a9bd1067ba871d0c36b3c927a 1203383483 ------p,2008-02-19T01:11:23Z,
1.0.3,commit 943fb0c61966277756c27b410c48f2392f20a213 1216329982 ------p,2008-07-17T21:26:22Z,
1.0.4,commit 222c73b3ac8a91218ef16c8aabaae48fe58477b8 1282833120 ------p,2010-08-26T14:32:00Z,
1.1.0,commit d5ddfa4180285c04764788e09aa06d3323d5487c 1211585826 ------p,2008-05-23T23:37:06Z,
1.2.0,commit df585211bbe6f76732f5a4b9d586a7c0dd0b2a1e 1237038684 ------p,2009-03-14T13:51:24Z,
1.2.1,commit 26dbc39431ad73a66752053fb278bb5027edc07e 1236953661 ------p,2009-03-13T14:14:21Z,
1.2.2,commit 9d34ef9dfc27f9fd5e712e1afe7f3ac25d119675 1263415502 ------p,2010-01-13T20:45:02Z,
1.2.3,commit ccfa50d3f0f1b60ad81bb75c4933234499dd610e 1365794014 ------p,2013-04-12T19:13:34Z,
2.0.0,commit 3c6051729cc63ac2daccb67569882c5857488496 1271698406 ------p,2010-04-19T17:33:26Z,
2.0.0-M3,commit 9233842af26bd73701f8bda5075d4146df48cc08 1255369338 ------p,2009-10-12T17:42:18Z,
2.0.0-beta,commit 898fa96cf0ede96594004b2ad962b4e8e30a4706 1264710425 ------p,2010-01-28T20:27:05Z,
2.0.0-beta2,commit 99ec183ee6cd054a29d7dbf5f2b53d635197c7f7 1267045486 ------p,2010-02-24T21:04:46Z,
2.0.0-beta3,commit 3a9579f475ab4ea3cf3eafb794439a96abfa3fae 1269380359 ------p,2010-03-23T21:39:19Z,
2.0.1,commit 805f554ba1896e417b28a547388ec059ba990f31 1282786945 ------p,2010-08-26T01:42:25Z,
2.1.0,commit 631dd1f8f4dd5231088518c4f6c8e2cc7e2bccbe 1297877065 ------p,2011-02-16T17:24:25Z,
2.1.1,commit 2266648255bf4a1a67a41516673c765675084f40 1311110320 ------p,2011-07-19T21:18:40Z,
2.2.0,commit 56bea9f63c4fc74ad8d25607f794f7788e9136f7 1329402075 ------p,2012-02-16T14:21:15Z,
2.2.1,commit bbad3236cb31e26c829c49cf172794222eba0500 1351805077 ------p,2012-11-01T21:24:37Z,
2.2.2,commit d0a60af74613ffe2bf4f591f84453d8e5b298d93 1366147720 ------p,2013-04-16T21:28:40Z,
2.3.0,commit 999338a19ec7bf3970218b143e38f1197f2c0111 1385037034 ------p,2013-11-21T12:30:34Z,
2.4.0,commit 16cb3a2212905e294c549d683813a5001085e5b7 1430813347 ------p,2015-05-05T08:09:07Z,
2.4.1,commit 628ccf1371be40c880ab6b4b0ac44821ba06f1b6 1455488581 ------p,2016-02-14T22:23:01Z,
2.4.1-SNAPSHOT,commit 8481d6c66ea4a60c706cef4700b92e727e00c5d6 1455458476 ------p,2016-02-14T14:01:16Z,
2.4.2,commit 4da43efd3d57f8ea145b358042cd463c9337f4c1 1483439859 ------p,2017-01-03T10:37:39Z,
2.4.3,commit 8ea7cbc2bd911285c7a644f0d75a888ed8d1ed04 1528963057 ------p,2018-06-14T07:57:37Z,
3.0.0,commit 201149154ec20fb5ee98a8ef6a586d060f1c5c54 1528963074 ------p,2018-06-14T07:57:54Z,
3.1.0,commit afcec21a1d489dff682a3ce7986fac6a1c80e8e0 1554919984 ------p,2019-04-10T18:13:04Z,
3.1.1,commit 1440702eec4ee0167b16606592198356765f4082 1581678721 ------p,2020-02-14T11:12:01Z,
3.1.2,commit 66d2a72cb2252a59086d76983979b6512c887a3b 1594113555 ------p,2020-07-07T09:19:15Z,
3.2.0,commit 6f721f69c93f9c48027837da31a9e2e6f1603647 1620667173 ------p,2021-05-10T17:19:33Z,
3.2.1,commit 000c065dbe8ceb4589fc1f789a37b8d68af6311e 1643882933 ------p,2022-02-03T10:08:53Z,
3.2.2,commit e5933d6aeed8463b01d1a075d611e336aacddc72 1647419156 ------p,2022-03-16T08:25:56Z,
4.0.0,commit 5b49d5351c14b5320e24ac6fcb7053c39a080f6b 1706880655 ------p,2024-02-02T13:30:55Z,
4.0.1,commit 4c5a46e8b1c91c7ce98e86b4b8807dabd5c97933 1726742920 ------p,2024-09-19T10:48:40Z,
4.1.0,commit a9fd6042c14190b8e4213e65297f380e20baf118 1742816386 ------p,2025-03-24T11:39:46Z,
4.1.1,commit 9d2f5f8c35691c3542606bea1d23b916bcbeda8d 1747314966 ------p,2025-05-15T13:16:06Z,
openjpa-parent-2.3.0,commit 13e13e7f7caf0f90c92ca6889453fe8bae1141a2 1384200468 ------p,2013-11-11T20:07:48Z,
openjpa-parent-2.4.0,commit ed488c7fa8d3e5f6d0099acc3ced51c5146edcf6 1429442479 ------p,2015-04-19T11:21:19Z,
openjpa-parent-2.4.3,commit a912d70902a4b840f7cc1a478bbd9853a537a284 1528319194 ------p,2018-06-06T21:06:34Z,
openjpa-parent-3.0.0,commit 5a19f02159be7c218624498ffec4510c4f21109e 1528490080 ------p,2018-06-08T20:34:40Z,
